t,value
1495769189,102400
1495769190,102400
1495769191,102400
1495769192,102400
1495769193,102400
1495769194,102400
1495769195,102400
1495769196,102400
1495769197,102400
1495769198,102400
1495769199,102400
1495769200,102400
1495769201,102400
1495769202,102400
1495769203,102400
1495769204,102400
1495769205,102400
1495769206,102400
1495769207,102400
1495769208,102400
1495769209,102400
1495769210,102400
1495769211,102400
1495769212,102400
1495769213,102400
1495769214,102400
1495769215,102400
1495769216,102400
1495769217,102400
1495769218,102400
1495769219,102400
1495769220,102400
1495769221,102400
1495769222,102400
1495769223,102400
1495769224,102400
1495769225,102400
1495769226,102400
1495769227,102400
1495769228,102400
1495769229,102400
1495769230,102400
1495769231,102400
1495769232,102400
1495769233,102400
1495769234,102400
1495769235,102400
1495769236,102400
1495769237,102400
1495769238,102400
1495769239,102400
1495769240,102400
1495769241,102400
1495769242,102400
1495769243,102400
1495769244,102400
1495769245,102400
1495769246,102400
1495769247,102400
1495769248,102400
1495769249,102400
1495769250,102400
1495769251,102400
1495769252,102400
1495769253,102400
1495769254,102400
1495769255,102400
1495769256,102400
1495769257,102400
1495769258,102400
1495769259,102400
1495769260,102400
1495769261,102400
1495769262,102400
1495769263,102400
1495769264,102400
1495769265,102400
1495769266,102400
1495769267,102400
1495769268,102400
1495769269,102400
1495769270,102400
1495769271,102400
1495769272,102400
1495769273,102400
1495769274,102400
1495769275,102400
1495769276,102400
1495769277,102400
1495769278,102400
1495769279,102400
1495769280,102400
1495769281,102400
1495769282,102400
1495769283,102400
1495769284,102400
1495769285,102400
1495769286,102400
1495769287,102400
1495769288,102400
1495769289,102400
1495769290,102400
1495769291,102400
1495769292,102400
1495769293,102400
1495769294,102400
1495769295,102400
1495769296,102400
1495769297,102400
1495769298,102400
1495769299,102400
1495769300,102400
1495769301,102400
1495769302,102400
1495769303,102400
1495769304,102400
1495769305,102400
1495769306,102400
1495769307,102400
1495769308,102400
1495769309,102400
1495769310,102400
1495769311,102400
1495769312,102400
1495769313,102400
1495769314,102400
1495769315,102400
1495769316,102400
1495769317,102400
1495769318,102400
1495769319,102400
1495769320,102400
1495769321,102400
1495769322,102400
1495769323,102400
1495769324,102400
1495769325,102400
1495769326,102400
1495769327,102400
1495769328,102400
1495769329,102400
1495769330,102400
1495769331,102400
1495769332,102400
1495769333,102400
1495769334,102400
1495769335,102400
1495769336,102400
1495769337,102400
1495769338,102400
1495769339,102400
1495769340,102400
1495769341,102400
1495769342,102400
1495769343,102400
1495769344,102400
1495769345,102400
1495769346,102400
1495769347,102400
1495769348,102400
1495769349,102400
1495769350,102400
1495769351,102400
1495769352,102400
1495769353,102400
1495769354,102400
1495769355,102400
1495769356,102400
1495769357,102400
1495769358,102400
1495769359,102400
1495769360,102400
1495769361,102400
1495769362,102400
1495769363,102400
1495769364,102400
1495769365,102400
1495769366,102400
1495769367,102400
1495769368,102400
1495769369,102400
1495769370,102400
1495769371,102400
1495769372,102400
1495769373,102400
1495769374,102400
1495769375,102400
1495769376,102400
1495769377,102400
1495769378,102400
1495769379,102400
1495769380,102400
1495769381,102400
1495769382,102400
1495769383,102400
1495769384,102400
1495769385,102400
1495769386,102400
1495769387,102400
1495769388,102400
1495769389,102400
1495769390,102400
1495769391,102400
1495769392,102400
1495769393,102400
1495769394,102400
1495769395,102400
1495769396,102400
1495769397,102400
1495769398,102400
1495769399,102400
1495769400,102400
1495769401,102400
1495769402,102400
1495769403,102400
1495769404,102400
1495769405,102400
1495769406,102400
1495769407,102400
1495769408,102400
1495769409,102400
1495769410,102400
1495769411,102400
1495769412,102400
1495769413,102400
1495769414,102400
1495769415,102400
1495769416,102400
1495769417,102400
1495769418,102400
1495769419,102400
1495769420,102400
1495769421,102400
1495769422,102400
1495769423,102400
1495769424,102400
1495769425,102400
1495769426,102400
1495769427,102400
1495769428,102400
1495769429,102400
1495769430,102400
1495769431,102400
1495769432,102400
1495769433,102400
1495769434,102400
1495769435,102400
1495769436,102400
1495769437,102400
1495769438,102400
1495769439,102400
1495769440,102400
1495769441,102400
1495769442,102400
1495769443,102400
1495769444,102400
1495769445,102400
1495769446,102400
1495769447,102400
1495769448,102400
1495769449,102400
1495769450,102400
1495769451,102400
1495769452,102400
1495769453,102400
1495769454,102400
1495769455,102400
1495769456,102400
1495769457,102400
1495769458,102400
1495769459,102400
1495769460,102400
1495769461,102400
1495769462,102400
1495769463,102400
1495769464,102400
1495769465,102400
1495769466,102400
1495769467,102400
1495769468,102400
1495769469,102400
1495769470,102400
1495769471,102400
1495769472,102400
1495769473,102400
1495769474,102400
1495769475,102400
1495769476,102400
1495769477,102400
1495769478,102400
1495769479,102400
1495769480,102400
1495769481,102400
1495769482,102400
1495769483,102400
1495769484,102400
1495769485,102400
1495769486,102400
1495769487,102400
1495769488,102400
1495769489,102400
1495769490,102400
1495769491,102400
1495769492,102400
1495769493,102400
1495769494,102400
1495769495,102400
1495769496,102400
1495769497,102400
1495769498,102400
1495769499,102400
1495769500,102400
1495769501,102400
1495769502,102400
1495769503,102400
1495769504,102400
1495769505,102400
1495769506,102400
1495769507,102400
1495769508,102400
1495769509,102400
1495769510,102400
1495769511,102400
1495769512,102400
1495769513,102400
1495769514,102400
1495769515,102400
1495769516,102400
1495769517,102400
1495769518,102400
1495769519,102400
1495769520,102400
1495769521,102400
1495769522,102400
1495769523,102400
1495769524,102400
1495769525,102400
1495769526,102400
1495769527,102400
1495769528,102400
1495769529,102400
1495769530,102400
1495769531,102400
1495769532,102400
1495769533,102400
1495769534,102400
1495769535,102400
1495769536,102400
1495769537,102400
1495769538,102400
1495769539,102400
1495769540,102400
1495769541,102400
1495769542,102400
1495769543,102400
1495769544,102400
1495769545,102400
1495769546,102400
1495769547,102400
1495769548,102400
1495769549,102400
1495769550,102400
1495769551,102400
1495769552,102400
1495769553,102400
1495769554,102400
1495769555,102400
1495769556,102400
1495769557,102400
1495769558,102400
1495769559,102400
1495769560,102400
1495769561,102400
1495769562,102400
1495769563,102400
1495769564,102400
1495769565,102400
1495769566,102400
1495769567,102400
1495769568,102400
1495769569,102400
1495769570,102400
1495769571,102400
1495769572,102400
1495769573,102400
1495769574,102400
1495769575,102400
1495769576,102400
1495769577,102400
1495769578,102400
1495769579,102400
1495769580,102400
1495769581,102400
1495769582,102400
1495769583,102400
1495769584,102400
1495769585,102400
1495769586,102400
1495769587,102400
1495769588,102400
1495769589,102400
1495769590,102400
1495769591,102400
1495769592,102400
1495769593,102400
1495769594,102400
1495769595,102400
1495769596,102400
1495769597,102400
1495769598,102400
1495769599,102400
1495769600,102400
1495769601,102400
1495769602,102400
1495769603,102400
1495769604,102400
1495769605,102400
1495769606,102400
1495769607,102400
1495769608,102400
1495769609,102400
1495769610,102400
1495769611,102400
1495769612,102400
1495769613,102400
1495769614,102400
1495769615,102400
1495769616,102400
