t,count
1493609208,0
1493609209,0
1493609210,0
1493609211,1
1493609212,1
1493609213,1
1493609214,1
1493609215,1
1493609216,1
1493609217,1
1493609218,1
1493609219,1
1493609220,1
1493609221,1
1493609222,1
1493609223,1
1493609224,1
1493609225,1
1493609226,1
1493609227,1
1493609228,1
1493609229,1
1493609230,1
1493609231,1
1493609243,0
1493609244,0
1493609245,0
1493609246,1
1493609247,1
1493609248,1
1493609249,1
1493609250,1
1493609251,1
1493609252,1
1493609253,1
1493609254,1
1493609255,1
1493609256,1
1493609257,1
1493609258,1
1493609259,1
1493609260,1
1493609261,1
1493609262,1
1493609263,1
1493609264,1
1493609265,1
1493609266,1
1493609281,0
1493609282,0
1493609283,1
1493609284,1
1493609285,1
1493609286,1
1493609287,1
1493609288,1
1493609289,1
1493609290,1
1493609291,1
1493609292,1
1493609293,1
1493609294,1
1493609295,1
1493609296,1
1493609297,1
1493609298,1
1493609299,1
1493609300,1
1493609301,1
1493609302,1
1493609303,1
1493609532,0
1493609533,0
1493609534,1
1493609535,1
1493609536,1
1493609537,1
1493609538,1
1493609539,1
1493609540,1
1493609541,1
1493609542,1
1493609543,1
1493609544,1
1493609545,1
1493609546,1
1493609547,1
1493609548,1
1493609549,1
1493609550,1
1493609551,1
1493609552,1
1493609553,1
1493609554,1
1493609642,0
1493609643,0
1493609644,0
1493609645,1
1493609646,1
1493609647,1
1493609648,1
1493609649,1
1493609650,1
1493609651,1
1493609652,1
1493609653,1
1493609654,1
1493609655,1
1493609656,1
1493609657,1
1493609658,1
1493609659,1
1493609660,1
1493609661,1
1493609662,1
1493609694,0
1493609695,0
1493609696,1
1493609697,1
1493609698,1
1493609699,1
1493609700,1
1493609701,1
1493609702,1
1493609703,1
1493609704,1
1493609705,1
1493609706,1
1493609707,1
1493609708,1
1493609709,1
1493609710,1
1493609711,1
1493609731,0
1493609732,0
1493609733,1
1493609734,1
1493609735,1
1493609736,1
1493609737,1
1493609738,1
1493609739,1
1493609740,1
1493609741,1
1493609742,1
1493609743,1
1493609744,1
1493609745,1
1493609746,1
1493609747,1
1493609748,1
1493609749,1
1493609750,1
1493609751,1
1493610007,0
1493610008,0
1493610009,0
1493610010,2
1493610011,2
1493610012,2
1493610013,2
1493610014,2
1493610015,2
1493610016,2
1493610017,2
1493610018,2
1493610019,2
1493610020,2
1493610021,2
1493610022,2
1493610023,2
1493610024,2
1493610025,2
1493610026,2
1493610027,2
1493610028,2
1493610029,2
1493610030,2
1493610696,0
